company_location,company_name,company_url,job_detail_url,job_listed,job_title
"Jakarta, Indonesia",Delman Data Lab,https://id.linkedin.com/company/delman-io?trk=public_jobs_jserp-result_job-search-card-subtitle,https://id.linkedin.com/jobs/view/data-scientist-contract-at-delman-data-lab-3804835097?refId=msX48ExmmBv6c93lBWrsPQ%3D%3D&trackingId=STYKBDR%2F1a172JeamOzchg%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,2024-01-19,Data Scientist (Contract)
Jakarta Metropolitan Area,Zurich Insurance,https://ch.linkedin.com/company/zurich-insurance-company-ltd?trk=public_jobs_jserp-result_job-search-card-subtitle,https://id.linkedin.com/jobs/view/data-scientist-zurich-asuransi-indonesia-at-zurich-insurance-3812345188?refId=msX48ExmmBv6c93lBWrsPQ%3D%3D&trackingId=BTPQpApyGqGgHu5iXo4d7g%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card,2024-01-24,Data Scientist - Zurich Asuransi Indonesia
"Jakarta, Indonesia",NielsenIQ,https://www.linkedin.com/company/nielseniq?trk=public_jobs_jserp-result_job-search-card-subtitle,https://id.linkedin.com/jobs/view/data-scientist-at-nielseniq-3756940997?refId=msX48ExmmBv6c93lBWrsPQ%3D%3D&trackingId=FRpgy0eLtga03zqaiAlTDw%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card,2024-01-09,Data Scientist
"Jakarta, Indonesia",IdScore,https://id.linkedin.com/company/idscore?trk=public_jobs_jserp-result_job-search-card-subtitle,https://id.linkedin.com/jobs/view/data-scientist-at-pt-pefindo-biro-kredit-3804198622?refId=msX48ExmmBv6c93lBWrsPQ%3D%3D&trackingId=I3HYjUCTobRFgjiRPD92hQ%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card,2024-01-18,Data Scientist
Jakarta Metropolitan Area,Grab,https://sg.linkedin.com/company/grabapp?trk=public_jobs_jserp-result_job-search-card-subtitle,https://id.linkedin.com/jobs/view/data-scientist-analytics-at-grab-3809353720?refId=msX48ExmmBv6c93lBWrsPQ%3D%3D&trackingId=Ib6GhLCc8o9XMMHiZkjkEg%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card,2024-01-23,Data Scientist (Analytics)
"Jakarta, Indonesia",Berani Digital ID,https://id.linkedin.com/company/beranidigital?trk=public_jobs_jserp-result_job-search-card-subtitle,https://id.linkedin.com/jobs/view/data-science-at-berani-digital-id-3808371711?refId=msX48ExmmBv6c93lBWrsPQ%3D%3D&trackingId=PLKYEBZIdl6n5yLhR2ZEEA%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card,2024-01-30,Data Science
"Your, Papua, Indonesia",Artsy,https://www.linkedin.com/company/artsyinc?trk=public_jobs_jserp-result_job-search-card-subtitle,https://id.linkedin.com/jobs/view/data-science-analytics-at-artsy-3620266146?refId=msX48ExmmBv6c93lBWrsPQ%3D%3D&trackingId=priOSWnOIOJ6Z6wEIDjwqA%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-05-08,Data Science & Analytics
Jakarta Metropolitan Area,Traveloka,https://sg.linkedin.com/company/traveloka?trk=public_jobs_jserp-result_job-search-card-subtitle,https://id.linkedin.com/jobs/view/data-scientist-at-traveloka-3803772042?refId=msX48ExmmBv6c93lBWrsPQ%3D%3D&trackingId=%2Fyv72zaf%2BOmVgY5sVgrzZA%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card,2024-01-11,Data Scientist
"Jakarta, Indonesia",ilmuOne Data,https://id.linkedin.com/company/ilmuone-data?trk=public_jobs_jserp-result_job-search-card-subtitle,https://id.linkedin.com/jobs/view/data-scientist-at-ilmuone-data-3807127952?refId=msX48ExmmBv6c93lBWrsPQ%3D%3D&trackingId=ayatPqI8K6dRBp3cNqHDnQ%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card,2024-01-17,Data Scientist
Jakarta Metropolitan Area,Ringan (PT Ringan Teknologi Indonesia),https://id.linkedin.com/company/pt-ringan-teknologi-indonesia?trk=public_jobs_jserp-result_job-search-card-subtitle,https://id.linkedin.com/jobs/view/risk-data-scientist-at-ringan-pt-ringan-teknologi-indonesia-3800521212?refId=msX48ExmmBv6c93lBWrsPQ%3D%3D&trackingId=95AhKKCfnG15u37cEZYl5A%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card,2024-01-12,Risk Data Scientist
"Surabaya, East Java, Indonesia",Dikshatek Indonesia,https://id.linkedin.com/company/dikshatek?trk=public_jobs_jserp-result_job-search-card-subtitle,https://id.linkedin.com/jobs/view/ai-at-diksha-teknologi-indonesia-3736943377?refId=msX48ExmmBv6c93lBWrsPQ%3D%3D&trackingId=%2BJ%2FEijaxRV52Pt%2Bmql%2FCsw%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-10-10,AI
"Larangan Selatan, Banten, Indonesia",Universitas AMIKOM Yogyakarta,https://id.linkedin.com/company/universitasamikomyogyakarta?trk=public_jobs_jserp-result_job-search-card-subtitle,https://id.linkedin.com/jobs/view/data-scientist-at-universitas-amikom-yogyakarta-3803584952?refId=msX48ExmmBv6c93lBWrsPQ%3D%3D&trackingId=ke33mcOvxC%2FmRSAqeB0BNA%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card,2024-01-11,Data Scientist
"Jakarta, Indonesia",GoTo Financial,https://id.linkedin.com/company/gotofinancial?trk=public_jobs_jserp-result_job-search-card-subtitle,https://id.linkedin.com/jobs/view/data-scientist-expert-at-goto-financial-3806405446?refId=msX48ExmmBv6c93lBWrsPQ%3D%3D&trackingId=LlKS4MUvXcolZmkGe2pXzA%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card,2024-01-19,Data Scientist Expert
Jakarta Metropolitan Area,PASIFIK SATELIT NUSANTARA,https://id.linkedin.com/company/pasifik-satelit-nusantara?trk=public_jobs_jserp-result_job-search-card-subtitle,https://id.linkedin.com/jobs/view/ai-application-engineer-at-pasifik-satelit-nusantara-3814912636?refId=olHG%2BV1hD9DkrFV2xygjjw%3D%3D&trackingId=Go%2F4wTDcQTGhlQAA1W3GCA%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card,2024-01-25,AI Application Engineer
"Jakarta, Indonesia",JULO,https://id.linkedin.com/company/juloindonesia?trk=public_jobs_jserp-result_job-search-card-subtitle,https://id.linkedin.com/jobs/view/senior-data-scientist-at-julo-3800067606?refId=olHG%2BV1hD9DkrFV2xygjjw%3D%3D&trackingId=xUzUgmhLZsE4K%2BgHINqvyw%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card,2024-01-08,Senior Data Scientist
"Larangan Selatan, Banten, Indonesia",Universitas AMIKOM Yogyakarta,https://id.linkedin.com/company/universitasamikomyogyakarta?trk=public_jobs_jserp-result_job-search-card-subtitle,https://id.linkedin.com/jobs/view/ai-engineer-at-universitas-amikom-yogyakarta-3803587294?refId=olHG%2BV1hD9DkrFV2xygjjw%3D%3D&trackingId=OaY3tT65myGfSVE5YHApBw%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card,2024-01-11,AI Engineer
Indonesia,TrimCheck,https://uk.linkedin.com/company/trimcheckapp?trk=public_jobs_jserp-result_job-search-card-subtitle,https://id.linkedin.com/jobs/view/swift-developer-at-trimcheck-3786924359?refId=olHG%2BV1hD9DkrFV2xygjjw%3D%3D&trackingId=P7zBsQK4fwhNLjFj%2FMux%2Fg%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card,2023-12-18,Swift Developer
"Jakarta, Jakarta, Indonesia",Argus Labs,https://www.linkedin.com/company/arguslabs?trk=public_jobs_jserp-result_job-search-card-subtitle,https://id.linkedin.com/jobs/view/software-engineer-junior-fresh-graduate-at-argus-labs-3746797954?refId=olHG%2BV1hD9DkrFV2xygjjw%3D%3D&trackingId=u%2BRAVyfOR2fPnmZfzHITEQ%3D%3D&position=5&pageNum=1&trk=public_jobs_jserp-result_search-card,2023-10-23,Software Engineer (Junior/Fresh Graduate)
"Tangerang, Banten, Indonesia",not-found,not-found,not-found,2024-01-23,Data Scientist
"Jakarta, Indonesia",Grab,https://sg.linkedin.com/company/grabapp?trk=public_jobs_jserp-result_job-search-card-subtitle,https://id.linkedin.com/jobs/view/senior-growth-data-scientist-at-grab-3809358344?refId=olHG%2BV1hD9DkrFV2xygjjw%3D%3D&trackingId=BI8ozEMnw0m2rCYqSKCbrw%3D%3D&position=7&pageNum=1&trk=public_jobs_jserp-result_search-card,2024-01-18,Senior Growth Data Scientist
